Glyph Name, Unicode, Character, Description, Glyph Set, Optional,Exclude
Aringacute,506,Ǻ,LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE,GF-latin-plus,FALSE,FALSE
Atilde,195,Ã,LATIN CAPITAL LETTER A WITH TILDE,GF-latin-core,FALSE,FALSE
AE,198,Æ,LATIN CAPITAL LETTER AE,GF-latin-core,FALSE,FALSE
AEacute,508,Ǽ,LATIN CAPITAL LETTER AE WITH ACUTE,GF-latin-plus,FALSE,FALSE
Cacute,262,Ć,LATIN CAPITAL LETTER C WITH ACUTE,GF-latin-plus,FALSE,FALSE
Ccaron,268,Č,LATIN CAPITAL LETTER C WITH CARON,GF-latin-plus,FALSE,FALSE
Ccedilla,199,Ç,LATIN CAPITAL LETTER C WITH CEDILLA,GF-latin-core,FALSE,FALSE
Ccedillaacute,7688,Ḉ,LATIN CAPITAL LETTER C WITH CEDILLA AND ACUTE,GF-latin-pro,FALSE,FALSE
Ccircumflex,264,Ĉ,LATIN CAPITAL LETTER C WITH CIRCUMFLEX,GF-latin-plus,FALSE,FALSE
Cdotaccent,266,Ċ,LATIN CAPITAL LETTER C WITH DOT ABOVE,GF-latin-plus,FALSE,FALSE
Dcaron,270,Ď,LATIN CAPITAL LETTER D WITH CARON,GF-latin-plus,FALSE,FALSE
Ddotbelow,7692,Ḍ,LATIN CAPITAL LETTER D WITH DOT BELOW,GF-latin-pro,FALSE,FALSE
Dlinebelow,7694,Ḏ,LATIN CAPITAL LETTER D WITH LINE BELOW,GF-latin-pro,FALSE,FALSE
Dcroat,272,Đ,LATIN CAPITAL LETTER D WITH STROKE,GF-latin-plus,FALSE,FALSE
Eth,208,Ð,LATIN CAPITAL LETTER ETH,GF-latin-core,FALSE,FALSE
Eacute,201,É,LATIN CAPITAL LETTER E WITH ACUTE,GF-latin-core,FALSE,FALSE
Ebreve,276,Ĕ,LATIN CAPITAL LETTER E WITH BREVE,GF-latin-plus,FALSE,FALSE
Ecaron,282,Ě,LATIN CAPITAL LETTER E WITH CARON,GF-latin-plus,FALSE,FALSE
Ecedillabreve,7708,Ḝ,LATIN CAPITAL LETTER E WITH CEDILLA AND BREVE,GF-latin-pro,FALSE,FALSE
Ecircumflex,202,Ê,LATIN CAPITAL LETTER E WITH CIRCUMFLEX,GF-latin-core,FALSE,FALSE
Ecircumflexacute,7870,Ế,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND ACUTE,GF-latin-plus,FALSE,FALSE
Ecircumflexdotbelow,7878,Ệ,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND DOT BELOW,GF-latin-plus,FALSE,FALSE
Ecircumflexgrave,7872,Ề,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND GRAVE,GF-latin-plus,FALSE,FALSE
Ecircumflexhoi,7874,Ể,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE,GF-latin-plus,FALSE,FALSE
Ecircumflextilde,7876,Ễ,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND TILDE,GF-latin-plus,FALSE,FALSE
Edieresis,203,Ë,LATIN CAPITAL LETTER E WITH DIAERESIS,GF-latin-core,FALSE,FALSE
Edotaccent,278,Ė,LATIN CAPITAL LETTER E WITH DOT ABOVE,GF-latin-plus,FALSE,FALSE
Edotbelow,7864,Ẹ,LATIN CAPITAL LETTER E WITH DOT BELOW,GF-latin-plus,FALSE,FALSE
Egravedbl,516,Ȅ,LATIN CAPITAL LETTER E WITH DOUBLE GRAVE,GF-latin-plus,FALSE,FALSE
Egrave,200,È,LATIN CAPITAL LETTER E WITH GRAVE,GF-latin-core,FALSE,FALSE
Ehoi,7866,Ẻ,LATIN CAPITAL LETTER E WITH HOOK ABOVE,GF-latin-plus,FALSE,FALSE
Einvertedbreve,518,Ȇ,LATIN CAPITAL LETTER E WITH INVERTED BREVE,GF-latin-plus,FALSE,FALSE
Emacron,274,Ē,LATIN CAPITAL LETTER E WITH MACRON,GF-latin-plus,FALSE,FALSE
Emacronacute,7702,Ḗ,LATIN CAPITAL LETTER E WITH MACRON AND ACUTE,GF-latin-pro,FALSE,FALSE
Emacrongrave,7700,Ḕ,LATIN CAPITAL LETTER E WITH MACRON AND GRAVE,GF-latin-pro,FALSE,FALSE
Eogonek,280,Ę,LATIN CAPITAL LETTER E WITH OGONEK,GF-latin-plus,FALSE,FALSE
Etilde,7868,Ẽ,LATIN CAPITAL LETTER E WITH TILDE,GF-latin-plus,FALSE,FALSE
Gbreve,286,Ğ,LATIN CAPITAL LETTER G WITH BREVE,GF-latin-plus,FALSE,FALSE
Gcaron,486,Ǧ,LATIN CAPITAL LETTER G WITH CARON,GF-latin-plus,FALSE,FALSE
Gcedilla,290,Ģ,LATIN CAPITAL LETTER G WITH CEDILLA,GF-latin-plus,FALSE,FALSE
Gcircumflex,284,Ĝ,LATIN CAPITAL LETTER G WITH CIRCUMFLEX,GF-latin-plus,FALSE,FALSE
Gdotaccent,288,Ġ,LATIN CAPITAL LETTER G WITH DOT ABOVE,GF-latin-plus,FALSE,FALSE
Gmacron,7712,Ḡ,LATIN CAPITAL LETTER G WITH MACRON,GF-latin-pro,FALSE,FALSE
Hbrevebelow,7722,Ḫ,LATIN CAPITAL LETTER H WITH BREVE BELOW,GF-latin-pro,FALSE,FALSE
Hcircumflex,292,Ĥ,LATIN CAPITAL LETTER H WITH CIRCUMFLEX,GF-latin-plus,FALSE,FALSE
Hdotbelow,7716,Ḥ,LATIN CAPITAL LETTER H WITH DOT BELOW,GF-latin-pro,FALSE,FALSE
Hbar,294,Ħ,LATIN CAPITAL LETTER H WITH STROKE,GF-latin-plus,FALSE,FALSE
Iacute,205,Í,LATIN CAPITAL LETTER I WITH ACUTE,GF-latin-core,FALSE,FALSE
Ibreve,300,Ĭ,LATIN CAPITAL LETTER I WITH BREVE,GF-latin-plus,FALSE,FALSE
Icircumflex,206,Î,LATIN CAPITAL LETTER I WITH CIRCUMFLEX,GF-latin-core,FALSE,FALSE
Idieresis,207,Ï,LATIN CAPITAL LETTER I WITH DIAERESIS,GF-latin-core,FALSE,FALSE
Idieresisacute,7726,Ḯ,LATIN CAPITAL LETTER I WITH DIAERESIS AND ACUTE,GF-latin-pro,FALSE,FALSE
Idotaccent,304,İ,LATIN CAPITAL LETTER I WITH DOT ABOVE,GF-latin-plus,FALSE,FALSE
Idotbelow,7882,Ị,LATIN CAPITAL LETTER I WITH DOT BELOW,GF-latin-plus,FALSE,FALSE
Igravedbl,520,Ȉ,LATIN CAPITAL LETTER I WITH DOUBLE GRAVE,GF-latin-plus,FALSE,FALSE
Igrave,204,Ì,LATIN CAPITAL LETTER I WITH GRAVE,GF-latin-core,FALSE,FALSE
Ihoi,7880,Ỉ,LATIN CAPITAL LETTER I WITH HOOK ABOVE,GF-latin-plus,FALSE,FALSE
Iinvertedbreve,522,Ȋ,LATIN CAPITAL LETTER I WITH INVERTED BREVE,GF-latin-plus,FALSE,FALSE
Imacron,298,Ī,LATIN CAPITAL LETTER I WITH MACRON,GF-latin-plus,FALSE,FALSE
Iogonek,302,Į,LATIN CAPITAL LETTER I WITH OGONEK,GF-latin-plus,FALSE,FALSE
Itilde,296,Ĩ,LATIN CAPITAL LETTER I WITH TILDE,GF-latin-plus,FALSE,FALSE
Jcircumflex,308,Ĵ,LATIN CAPITAL LETTER J WITH CIRCUMFLEX,GF-latin-plus,FALSE,FALSE
Kcedilla,310,Ķ,LATIN CAPITAL LETTER K WITH CEDILLA,GF-latin-plus,FALSE,FALSE
Lacute,313,Ĺ,LATIN CAPITAL LETTER L WITH ACUTE,GF-latin-plus,FALSE,FALSE
Lcaron,317,Ľ,LATIN CAPITAL LETTER L WITH CARON,GF-latin-plus,FALSE,FALSE
Lcedilla,315,Ļ,LATIN CAPITAL LETTER L WITH CEDILLA,GF-latin-plus,FALSE,FALSE
Ldotbelow,7734,Ḷ,LATIN CAPITAL LETTER L WITH DOT BELOW,GF-latin-pro,FALSE,FALSE
Llinebelow,7738,Ḻ,LATIN CAPITAL LETTER L WITH LINE BELOW,GF-latin-pro,FALSE,FALSE
Ldot,319,Ŀ,LATIN CAPITAL LETTER L WITH MIDDLE DOT,GF-latin-plus,FALSE,FALSE
Lslash,321,Ł,LATIN CAPITAL LETTER L WITH STROKE,GF-latin-plus,FALSE,FALSE
Mdotbelow,7746,Ṃ,LATIN CAPITAL LETTER M WITH DOT BELOW,GF-latin-pro,FALSE,FALSE
Nacute,323,Ń,LATIN CAPITAL LETTER N WITH ACUTE,GF-latin-plus,FALSE,FALSE
Ncaron,327,Ň,LATIN CAPITAL LETTER N WITH CARON,GF-latin-plus,FALSE,FALSE
Ncedilla,325,Ņ,LATIN CAPITAL LETTER N WITH CEDILLA,GF-latin-plus,FALSE,FALSE
Ndot,7748,Ṅ,LATIN CAPITAL LETTER N WITH DOT ABOVE,GF-latin-pro,FALSE,FALSE
Ndotbelow,7750,Ṇ,LATIN CAPITAL LETTER N WITH DOT BELOW,GF-latin-pro,FALSE,FALSE
Nlinebelow,7752,Ṉ,LATIN CAPITAL LETTER N WITH LINE BELOW,GF-latin-pro,FALSE,FALSE
Ntilde,209,Ñ,LATIN CAPITAL LETTER N WITH TILDE,GF-latin-core,FALSE,FALSE
Eng,330,Ŋ,LATIN CAPITAL LETTER ENG,GF-latin-plus,FALSE,FALSE
Oacute,211,Ó,LATIN CAPITAL LETTER O WITH ACUTE,GF-latin-core,FALSE,FALSE
Obreve,334,Ŏ,LATIN CAPITAL LETTER O WITH BREVE,GF-latin-plus,FALSE,FALSE
Ocircumflex,212,Ô,LATIN CAPITAL LETTER O WITH CIRCUMFLEX,GF-latin-core,FALSE,FALSE
Ocircumflexacute,7888,Ố,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND ACUTE,GF-latin-plus,FALSE,FALSE
Ocircumflexdotbelow,7896,Ộ,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND DOT BELOW,GF-latin-plus,FALSE,FALSE
Ocircumflexgrave,7890,Ồ,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND GRAVE,GF-latin-plus,FALSE,FALSE
Ocircumflexhoi,7892,Ổ,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE,GF-latin-plus,FALSE,FALSE
Ocircumflextilde,7894,Ỗ,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND TILDE,GF-latin-plus,FALSE,FALSE
Odieresis,214,Ö,LATIN CAPITAL LETTER O WITH DIAERESIS,GF-latin-core,FALSE,FALSE
Odieresismacron,554,Ȫ,LATIN CAPITAL LETTER O WITH DIAERESIS AND MACRON,GF-latin-plus,FALSE,FALSE
Odotmacron,560,Ȱ,LATIN CAPITAL LETTER O WITH DOT ABOVE AND MACRON,GF-latin-plus,FALSE,FALSE
Odotbelow,7884,Ọ,LATIN CAPITAL LETTER O WITH DOT BELOW,GF-latin-plus,FALSE,FALSE
Ohungarumlaut,336,Ő,LATIN CAPITAL LETTER O WITH DOUBLE ACUTE,GF-latin-plus,FALSE,FALSE
Ogravedbl,524,Ȍ,LATIN CAPITAL LETTER O WITH DOUBLE GRAVE,GF-latin-plus,FALSE,FALSE
Ograve,210,Ò,LATIN CAPITAL LETTER O WITH GRAVE,GF-latin-core,FALSE,FALSE
Ohoi,7886,Ỏ,LATIN CAPITAL LETTER O WITH HOOK ABOVE,GF-latin-plus,FALSE,FALSE
Ohorn,416,Ơ,LATIN CAPITAL LETTER O WITH HORN,GF-latin-plus,FALSE,FALSE
Ohornacute,7898,Ớ,LATIN CAPITAL LETTER O WITH HORN AND ACUTE,GF-latin-plus,FALSE,FALSE
Ohorndotbelow,7906,Ợ,LATIN CAPITAL LETTER O WITH HORN AND DOT BELOW,GF-latin-plus,FALSE,FALSE
Ohorngrave,7900,Ờ,LATIN CAPITAL LETTER O WITH HORN AND GRAVE,GF-latin-plus,FALSE,FALSE
Ohornhoi,7902,Ở,LATIN CAPITAL LETTER O WITH HORN AND HOOK ABOVE,GF-latin-plus,FALSE,FALSE
Ohorntilde,7904,Ỡ,LATIN CAPITAL LETTER O WITH HORN AND TILDE,GF-latin-plus,FALSE,FALSE
Oinvertedbreve,526,Ȏ,LATIN CAPITAL LETTER O WITH INVERTED BREVE,GF-latin-plus,FALSE,FALSE
Omacron,332,Ō,LATIN CAPITAL LETTER O WITH MACRON,GF-latin-plus,FALSE,FALSE
Omacronacute,7762,Ṓ,LATIN CAPITAL LETTER O WITH MACRON AND ACUTE,GF-latin-pro,FALSE,FALSE
Omacrongrave,7760,Ṑ,LATIN CAPITAL LETTER O WITH MACRON AND GRAVE,GF-latin-pro,FALSE,FALSE
Oogonek,490,Ǫ,LATIN CAPITAL LETTER O WITH OGONEK,GF-latin-plus,FALSE,FALSE
Oslash,216,Ø,LATIN CAPITAL LETTER O WITH STROKE,GF-latin-core,FALSE,FALSE
Oslashacute,510,Ǿ,LATIN CAPITAL LETTER O WITH STROKE AND ACUTE,GF-latin-plus,FALSE,FALSE
Otilde,213,Õ,LATIN CAPITAL LETTER O WITH TILDE,GF-latin-core,FALSE,FALSE
Otildeacute,7756,Ṍ,LATIN CAPITAL LETTER O WITH TILDE AND ACUTE,GF-latin-pro,FALSE,FALSE
Otildedieresis,7758,Ṏ,LATIN CAPITAL LETTER O WITH TILDE AND DIAERESIS,GF-latin-pro,FALSE,FALSE
Otildemacron,556,Ȭ,LATIN CAPITAL LETTER O WITH TILDE AND MACRON,GF-latin-plus,FALSE,FALSE
OE,338,Œ,LATIN CAPITAL LIGATURE OE,GF-latin-core,FALSE,FALSE
Racute,340,Ŕ,LATIN CAPITAL LETTER R WITH ACUTE,GF-latin-plus,FALSE,FALSE
Rcaron,344,Ř,LATIN CAPITAL LETTER R WITH CARON,GF-latin-plus,FALSE,FALSE
Rcedilla,342,Ŗ,LATIN CAPITAL LETTER R WITH CEDILLA,GF-latin-plus,FALSE,FALSE
Rdotbelow,7770,Ṛ,LATIN CAPITAL LETTER R WITH DOT BELOW,GF-latin-pro,FALSE,FALSE
Rgravedbl,528,Ȑ,LATIN CAPITAL LETTER R WITH DOUBLE GRAVE,GF-latin-plus,FALSE,FALSE
Rinvertedbreve,530,Ȓ,LATIN CAPITAL LETTER R WITH INVERTED BREVE,GF-latin-plus,FALSE,FALSE
Rlinebelow,7774,Ṟ,LATIN CAPITAL LETTER R WITH LINE BELOW,GF-latin-pro,FALSE,FALSE
Sacute,346,Ś,LATIN CAPITAL LETTER S WITH ACUTE,GF-latin-plus,FALSE,FALSE
Sacutedotaccent,7780,Ṥ,LATIN CAPITAL LETTER S WITH ACUTE AND DOT ABOVE,GF-latin-pro,FALSE,FALSE
Scaron,352,Š,LATIN CAPITAL LETTER S WITH CARON,GF-latin-plus,FALSE,FALSE
Scarondot,7782,Ṧ,LATIN CAPITAL LETTER S WITH CARON AND DOT ABOVE,GF-latin-pro,FALSE,FALSE
Scedilla,350,Ş,LATIN CAPITAL LETTER S WITH CEDILLA,GF-latin-plus,FALSE,FALSE
Scircumflex,348,Ŝ,LATIN CAPITAL LETTER S WITH CIRCUMFLEX,GF-latin-plus,FALSE,FALSE
Scommaaccent,536,Ș,LATIN CAPITAL LETTER S WITH COMMA BELOW,GF-latin-plus,FALSE,FALSE
Sdot,7776,Ṡ,LATIN CAPITAL LETTER S WITH DOT ABOVE,GF-latin-pro,FALSE,FALSE
Sdotbelow,7778,Ṣ,LATIN CAPITAL LETTER S WITH DOT BELOW,GF-latin-pro,FALSE,FALSE
Sdotbelowdotabove,7784,Ṩ,LATIN CAPITAL LETTER S WITH DOT BELOW AND DOT ABOVE,GF-latin-pro,FALSE,FALSE
Germandbls,7838,ẞ,LATIN CAPITAL LETTER SHARP S,GF-latin-plus,FALSE,FALSE
Schwa,399,Ə,LATIN CAPITAL LETTER SCHWA,GF-latin-plus,FALSE,FALSE
Tcaron,356,Ť,LATIN CAPITAL LETTER T WITH CARON,GF-latin-plus,FALSE,FALSE
Tcedilla,354,Ţ,LATIN CAPITAL LETTER T WITH CEDILLA,GF-latin-plus,FALSE,FALSE
Tcommaaccent,538,Ț,LATIN CAPITAL LETTER T WITH COMMA BELOW,GF-latin-plus,FALSE,FALSE
Tdotbelow,7788,Ṭ,LATIN CAPITAL LETTER T WITH DOT BELOW,GF-latin-pro,FALSE,FALSE
Tlinebelow,7790,Ṯ,LATIN CAPITAL LETTER T WITH LINE BELOW,GF-latin-pro,FALSE,FALSE
Tbar,358,Ŧ,LATIN CAPITAL LETTER T WITH STROKE,GF-latin-plus,FALSE,FALSE
Thorn,222,Þ,LATIN CAPITAL LETTER THORN,GF-latin-core,FALSE,FALSE
Uacute,218,Ú,LATIN CAPITAL LETTER U WITH ACUTE,GF-latin-core,FALSE,FALSE
Ubreve,364,Ŭ,LATIN CAPITAL LETTER U WITH BREVE,GF-latin-plus,FALSE,FALSE
Ucircumflex,219,Û,LATIN CAPITAL LETTER U WITH CIRCUMFLEX,GF-latin-core,FALSE,FALSE
Udieresis,220,Ü,LATIN CAPITAL LETTER U WITH DIAERESIS,GF-latin-core,FALSE,FALSE
Udotbelow,7908,Ụ,LATIN CAPITAL LETTER U WITH DOT BELOW,GF-latin-plus,FALSE,FALSE
Uhungarumlaut,368,Ű,LATIN CAPITAL LETTER U WITH DOUBLE ACUTE,GF-latin-plus,FALSE,FALSE
Ugravedbl,532,Ȕ,LATIN CAPITAL LETTER U WITH DOUBLE GRAVE,GF-latin-plus,FALSE,FALSE
Ugrave,217,Ù,LATIN CAPITAL LETTER U WITH GRAVE,GF-latin-core,FALSE,FALSE
Uhoi,7910,Ủ,LATIN CAPITAL LETTER U WITH HOOK ABOVE,GF-latin-plus,FALSE,FALSE
Uhorn,431,Ư,LATIN CAPITAL LETTER U WITH HORN,GF-latin-plus,FALSE,FALSE
Uhornacute,7912,Ứ,LATIN CAPITAL LETTER U WITH HORN AND ACUTE,GF-latin-plus,FALSE,FALSE
Uhorndotbelow,7920,Ự,LATIN CAPITAL LETTER U WITH HORN AND DOT BELOW,GF-latin-plus,FALSE,FALSE
Uhorngrave,7914,Ừ,LATIN CAPITAL LETTER U WITH HORN AND GRAVE,GF-latin-plus,FALSE,FALSE
Uhornhoi,7916,Ử,LATIN CAPITAL LETTER U WITH HORN AND HOOK ABOVE,GF-latin-plus,FALSE,FALSE
Uhorntilde,7918,Ữ,LATIN CAPITAL LETTER U WITH HORN AND TILDE,GF-latin-plus,FALSE,FALSE
Uinvertedbreve,534,Ȗ,LATIN CAPITAL LETTER U WITH INVERTED BREVE,GF-latin-plus,FALSE,FALSE
Umacron,362,Ū,LATIN CAPITAL LETTER U WITH MACRON,GF-latin-plus,FALSE,FALSE
Umacrondieresis,7802,Ṻ,LATIN CAPITAL LETTER U WITH MACRON AND DIAERESIS,GF-latin-pro,FALSE,FALSE
Uogonek,370,Ų,LATIN CAPITAL LETTER U WITH OGONEK,GF-latin-plus,FALSE,FALSE
Uring,366,Ů,LATIN CAPITAL LETTER U WITH RING ABOVE,GF-latin-plus,FALSE,FALSE
Utilde,360,Ũ,LATIN CAPITAL LETTER U WITH TILDE,GF-latin-plus,FALSE,FALSE
Utildeacute,7800,Ṹ,LATIN CAPITAL LETTER U WITH TILDE AND ACUTE,GF-latin-pro,FALSE,FALSE
Wacute,7810,Ẃ,LATIN CAPITAL LETTER W WITH ACUTE,GF-latin-plus,FALSE,FALSE
Wcircumflex,372,Ŵ,LATIN CAPITAL LETTER W WITH CIRCUMFLEX,GF-latin-plus,FALSE,FALSE
Wdieresis,7812,Ẅ,LATIN CAPITAL LETTER W WITH DIAERESIS,GF-latin-plus,FALSE,FALSE
Wgrave,7808,Ẁ,LATIN CAPITAL LETTER W WITH GRAVE,GF-latin-plus,FALSE,FALSE
Yacute,221,Ý,LATIN CAPITAL LETTER Y WITH ACUTE,GF-latin-core,FALSE,FALSE
Ycircumflex,374,Ŷ,LATIN CAPITAL LETTER Y WITH CIRCUMFLEX,GF-latin-plus,FALSE,FALSE
Ydieresis,376,Ÿ,LATIN CAPITAL LETTER Y WITH DIAERESIS,GF-latin-plus,FALSE,FALSE
Ydot,7822,Ẏ,LATIN CAPITAL LETTER Y WITH DOT ABOVE,GF-latin-pro,FALSE,FALSE
Ydotbelow,7924,Ỵ,LATIN CAPITAL LETTER Y WITH DOT BELOW,GF-latin-plus,FALSE,FALSE
Ygrave,7922,Ỳ,LATIN CAPITAL LETTER Y WITH GRAVE,GF-latin-plus,FALSE,FALSE
Yhoi,7926,Ỷ,LATIN CAPITAL LETTER Y WITH HOOK ABOVE,GF-latin-plus,FALSE,FALSE
Ymacron,562,Ȳ,LATIN CAPITAL LETTER Y WITH MACRON,GF-latin-plus,FALSE,FALSE
Ytilde,7928,Ỹ,LATIN CAPITAL LETTER Y WITH TILDE,GF-latin-plus,FALSE,FALSE
Zacute,377,Ź,LATIN CAPITAL LETTER Z WITH ACUTE,GF-latin-plus,FALSE,FALSE
Zcaron,381,Ž,LATIN CAPITAL LETTER Z WITH CARON,GF-latin-plus,FALSE,FALSE
Zdotaccent,379,Ż,LATIN CAPITAL LETTER Z WITH DOT ABOVE,GF-latin-plus,FALSE,FALSE
Zdotbelow,7826,Ẓ,LATIN CAPITAL LETTER Z WITH DOT BELOW,GF-latin-pro,FALSE,FALSE
aacute,225,á,LATIN SMALL LETTER A WITH ACUTE,GF-latin-core,FALSE,FALSE
abreve,259,ă,LATIN SMALL LETTER A WITH BREVE,GF-latin-plus,FALSE,FALSE
abreveacute,7855,ắ,LATIN SMALL LETTER A WITH BREVE AND ACUTE,GF-latin-plus,FALSE,FALSE
abrevedotbelow,7863,ặ,LATIN SMALL LETTER A WITH BREVE AND DOT BELOW,GF-latin-plus,FALSE,FALSE
abrevegrave,7857,ằ,LATIN SMALL LETTER A WITH BREVE AND GRAVE,GF-latin-plus,FALSE,FALSE
abrevehoi,7859,ẳ,LATIN SMALL LETTER A WITH BREVE AND HOOK ABOVE,GF-latin-plus,FALSE,FALSE
abrevetilde,7861,ẵ,LATIN SMALL LETTER A WITH BREVE AND TILDE,GF-latin-plus,FALSE,FALSE
acircumflex,226,â,LATIN SMALL LETTER A WITH CIRCUMFLEX,GF-latin-core,FALSE,FALSE
acircumflexacute,7845,ấ,LATIN SMALL LETTER A WITH CIRCUMFLEX AND ACUTE,GF-latin-plus,FALSE,FALSE
acircumflexdotbelow,7853,ậ,LATIN SMALL LETTER A WITH CIRCUMFLEX AND DOT BELOW,GF-latin-plus,FALSE,FALSE
acircumflexgrave,7847,ầ,LATIN SMALL LETTER A WITH CIRCUMFLEX AND GRAVE,GF-latin-plus,FALSE,FALSE
acircumflexhoi,7849,ẩ,LATIN SMALL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE,GF-latin-plus,FALSE,FALSE
acircumflextilde,7851,ẫ,LATIN SMALL LETTER A WITH CIRCUMFLEX AND TILDE,GF-latin-plus,FALSE,FALSE
adieresis,228,ä,LATIN SMALL LETTER A WITH DIAERESIS,GF-latin-core,FALSE,FALSE
adotbelow,7841,ạ,LATIN SMALL LETTER A WITH DOT BELOW,GF-latin-plus,FALSE,FALSE
agravedbl,513,ȁ,LATIN SMALL LETTER A WITH DOUBLE GRAVE,GF-latin-plus,FALSE,FALSE
agrave,224,à,LATIN SMALL LETTER A WITH GRAVE,GF-latin-core,FALSE,FALSE
ahoi,7843,ả,LATIN SMALL LETTER A WITH HOOK ABOVE,GF-latin-plus,FALSE,FALSE
ainvertedbreve,515,ȃ,LATIN SMALL LETTER A WITH INVERTED BREVE,GF-latin-plus,FALSE,FALSE
amacron,257,ā,LATIN SMALL LETTER A WITH MACRON,GF-latin-plus,FALSE,FALSE
aogonek,261,ą,LATIN SMALL LETTER A WITH OGONEK,GF-latin-plus,FALSE,FALSE
aring,229,å,LATIN SMALL LETTER A WITH RING ABOVE,GF-latin-core,FALSE,FALSE
aringacute,507,ǻ,LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE,GF-latin-plus,FALSE,FALSE
atilde,227,ã,LATIN SMALL LETTER A WITH TILDE,GF-latin-core,FALSE,FALSE
ae,230,æ,LATIN SMALL LETTER AE,GF-latin-core,FALSE,FALSE
aeacute,509,ǽ,LATIN SMALL LETTER AE WITH ACUTE,GF-latin-plus,FALSE,FALSE
cacute,263,ć,LATIN SMALL LETTER C WITH ACUTE,GF-latin-plus,FALSE,FALSE
ccaron,269,č,LATIN SMALL LETTER C WITH CARON,GF-latin-plus,FALSE,FALSE
ccedilla,231,ç,LATIN SMALL LETTER C WITH CEDILLA,GF-latin-core,FALSE,FALSE
ccedillaacute,7689,ḉ,LATIN SMALL LETTER C WITH CEDILLA AND ACUTE,GF-latin-pro,FALSE,FALSE
ccircumflex,265,ĉ,LATIN SMALL LETTER C WITH CIRCUMFLEX,GF-latin-plus,FALSE,FALSE
cdotaccent,267,ċ,LATIN SMALL LETTER C WITH DOT ABOVE,GF-latin-plus,FALSE,FALSE
dcaron,271,ď,LATIN SMALL LETTER D WITH CARON,GF-latin-plus,FALSE,FALSE
ddotbelow,7693,ḍ,LATIN SMALL LETTER D WITH DOT BELOW,GF-latin-pro,FALSE,FALSE
dlinebelow,7695,ḏ,LATIN SMALL LETTER D WITH LINE BELOW,GF-latin-pro,FALSE,FALSE
dcroat,273,đ,LATIN SMALL LETTER D WITH STROKE,GF-latin-plus,FALSE,FALSE
eth,240,ð,LATIN SMALL LETTER ETH,GF-latin-core,FALSE,FALSE
eacute,233,é,LATIN SMALL LETTER E WITH ACUTE,GF-latin-core,FALSE,FALSE
ebreve,277,ĕ,LATIN SMALL LETTER E WITH BREVE,GF-latin-plus,FALSE,FALSE
ecaron,283,ě,LATIN SMALL LETTER E WITH CARON,GF-latin-plus,FALSE,FALSE
ecedillabreve,7709,ḝ,LATIN SMALL LETTER E WITH CEDILLA AND BREVE,GF-latin-pro,FALSE,FALSE
ecircumflex,234,ê,LATIN SMALL LETTER E WITH CIRCUMFLEX,GF-latin-core,FALSE,FALSE
ecircumflexacute,7871,ế,LATIN SMALL LETTER E WITH CIRCUMFLEX AND ACUTE,GF-latin-plus,FALSE,FALSE
ecircumflexdotbelow,7879,ệ,LATIN SMALL LETTER E WITH CIRCUMFLEX AND DOT BELOW,GF-latin-plus,FALSE,FALSE
ecircumflexgrave,7873,ề,LATIN SMALL LETTER E WITH CIRCUMFLEX AND GRAVE,GF-latin-plus,FALSE,FALSE
