Glyph Name, Unicode, Character, Description, Glyph Set, Optional
Ccedillaacute,7688,Ḉ,LATIN CAPITAL LETTER C WITH CEDILLA AND ACUTE,GF-latin-pro,0
Ccircumflex,264,Ĉ,LATIN CAPITAL LETTER C WITH CIRCUMFLEX,GF-latin-plus,0
Cdotaccent,266,Ċ,LATIN CAPITAL LETTER C WITH DOT ABOVE,GF-latin-plus,0
Dcaron,270,Ď,LATIN CAPITAL LETTER D WITH CARON,GF-latin-plus,0
Ddotbelow,7692,Ḍ,LATIN CAPITAL LETTER D WITH DOT BELOW,GF-latin-pro,0
Dlinebelow,7694,Ḏ,LATIN CAPITAL LETTER D WITH LINE BELOW,GF-latin-pro,0
Dcroat,272,Đ,LATIN CAPITAL LETTER D WITH STROKE,GF-latin-plus,0
Eth,208,Ð,LATIN CAPITAL LETTER ETH,GF-latin-core,0
Eacute,201,É,LATIN CAPITAL LETTER E WITH ACUTE,GF-latin-core,0
Ebreve,276,Ĕ,LATIN CAPITAL LETTER E WITH BREVE,GF-latin-plus,0
Ecaron,282,Ě,LATIN CAPITAL LETTER E WITH CARON,GF-latin-plus,0
Ecedillabreve,7708,Ḝ,LATIN CAPITAL LETTER E WITH CEDILLA AND BREVE,GF-latin-pro,0
Ecircumflex,202,Ê,LATIN CAPITAL LETTER E WITH CIRCUMFLEX,GF-latin-core,0
Ecircumflexacute,7870,Ế,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND ACUTE,GF-latin-plus,0
Ecircumflexdotbelow,7878,Ệ,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND DOT BELOW,GF-latin-plus,0
Ecircumflexgrave,7872,Ề,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND GRAVE,GF-latin-plus,0
Ecircumflexhoi,7874,Ể,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE,GF-latin-plus,0
Ecircumflextilde,7876,Ễ,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND TILDE,GF-latin-plus,0
Edieresis,203,Ë,LATIN CAPITAL LETTER E WITH DIAERESIS,GF-latin-core,0
Edotaccent,278,Ė,LATIN CAPITAL LETTER E WITH DOT ABOVE,GF-latin-plus,0
Edotbelow,7864,Ẹ,LATIN CAPITAL LETTER E WITH DOT BELOW,GF-latin-plus,0
Egravedbl,516,Ȅ,LATIN CAPITAL LETTER E WITH DOUBLE GRAVE,GF-latin-plus,0
Egrave,200,È,LATIN CAPITAL LETTER E WITH GRAVE,GF-latin-core,0
Ehoi,7866,Ẻ,LATIN CAPITAL LETTER E WITH HOOK ABOVE,GF-latin-plus,0
Einvertedbreve,518,Ȇ,LATIN CAPITAL LETTER E WITH INVERTED BREVE,GF-latin-plus,0
Emacron,274,Ē,LATIN CAPITAL LETTER E WITH MACRON,GF-latin-plus,0
Emacronacute,7702,Ḗ,LATIN CAPITAL LETTER E WITH MACRON AND ACUTE,GF-latin-pro,0
Emacrongrave,7700,Ḕ,LATIN CAPITAL LETTER E WITH MACRON AND GRAVE,GF-latin-pro,0
Eogonek,280,Ę,LATIN CAPITAL LETTER E WITH OGONEK,GF-latin-plus,0
Etilde,7868,Ẽ,LATIN CAPITAL LETTER E WITH TILDE,GF-latin-plus,0
Gbreve,286,Ğ,LATIN CAPITAL LETTER G WITH BREVE,GF-latin-plus,0
Gcaron,486,Ǧ,LATIN CAPITAL LETTER G WITH CARON,GF-latin-plus,0
Gcedilla,290,Ģ,LATIN CAPITAL LETTER G WITH CEDILLA,GF-latin-plus,0
Gcircumflex,284,Ĝ,LATIN CAPITAL LETTER G WITH CIRCUMFLEX,GF-latin-plus,0
Gdotaccent,288,Ġ,LATIN CAPITAL LETTER G WITH DOT ABOVE,GF-latin-plus,0
Gmacron,7712,Ḡ,LATIN CAPITAL LETTER G WITH MACRON,GF-latin-pro,0
Hbrevebelow,7722,Ḫ,LATIN CAPITAL LETTER H WITH BREVE BELOW,GF-latin-pro,0
Hcircumflex,292,Ĥ,LATIN CAPITAL LETTER H WITH CIRCUMFLEX,GF-latin-plus,0
Hdotbelow,7716,Ḥ,LATIN CAPITAL LETTER H WITH DOT BELOW,GF-latin-pro,0
Hbar,294,Ħ,LATIN CAPITAL LETTER H WITH STROKE,GF-latin-plus,0
Iacute,205,Í,LATIN CAPITAL LETTER I WITH ACUTE,GF-latin-core,0
Ibreve,300,Ĭ,LATIN CAPITAL LETTER I WITH BREVE,GF-latin-plus,0
Icircumflex,206,Î,LATIN CAPITAL LETTER I WITH CIRCUMFLEX,GF-latin-core,0
Idieresis,207,Ï,LATIN CAPITAL LETTER I WITH DIAERESIS,GF-latin-core,0
Idieresisacute,7726,Ḯ,LATIN CAPITAL LETTER I WITH DIAERESIS AND ACUTE,GF-latin-pro,0
Idotaccent,304,İ,LATIN CAPITAL LETTER I WITH DOT ABOVE,GF-latin-plus,0
Idotbelow,7882,Ị,LATIN CAPITAL LETTER I WITH DOT BELOW,GF-latin-plus,0
Igravedbl,520,Ȉ,LATIN CAPITAL LETTER I WITH DOUBLE GRAVE,GF-latin-plus,0
Igrave,204,Ì,LATIN CAPITAL LETTER I WITH GRAVE,GF-latin-core,0
Ihoi,7880,Ỉ,LATIN CAPITAL LETTER I WITH HOOK ABOVE,GF-latin-plus,0
Iinvertedbreve,522,Ȋ,LATIN CAPITAL LETTER I WITH INVERTED BREVE,GF-latin-plus,0
Imacron,298,Ī,LATIN CAPITAL LETTER I WITH MACRON,GF-latin-plus,0
Iogonek,302,Į,LATIN CAPITAL LETTER I WITH OGONEK,GF-latin-plus,0
Itilde,296,Ĩ,LATIN CAPITAL LETTER I WITH TILDE,GF-latin-plus,0
Jcircumflex,308,Ĵ,LATIN CAPITAL LETTER J WITH CIRCUMFLEX,GF-latin-plus,0
Kcedilla,310,Ķ,LATIN CAPITAL LETTER K WITH CEDILLA,GF-latin-plus,0
Lacute,313,Ĺ,LATIN CAPITAL LETTER L WITH ACUTE,GF-latin-plus,0
Lcaron,317,Ľ,LATIN CAPITAL LETTER L WITH CARON,GF-latin-plus,0
Lcedilla,315,Ļ,LATIN CAPITAL LETTER L WITH CEDILLA,GF-latin-plus,0
Ldotbelow,7734,Ḷ,LATIN CAPITAL LETTER L WITH DOT BELOW,GF-latin-pro,0
Llinebelow,7738,Ḻ,LATIN CAPITAL LETTER L WITH LINE BELOW,GF-latin-pro,0
Ldot,319,Ŀ,LATIN CAPITAL LETTER L WITH MIDDLE DOT,GF-latin-plus,0
Lslash,321,Ł,LATIN CAPITAL LETTER L WITH STROKE,GF-latin-plus,0
Mdotbelow,7746,Ṃ,LATIN CAPITAL LETTER M WITH DOT BELOW,GF-latin-pro,0
Nacute,323,Ń,LATIN CAPITAL LETTER N WITH ACUTE,GF-latin-plus,0
Ncaron,327,Ň,LATIN CAPITAL LETTER N WITH CARON,GF-latin-plus,0
Ncedilla,325,Ņ,LATIN CAPITAL LETTER N WITH CEDILLA,GF-latin-plus,0
Ndot,7748,Ṅ,LATIN CAPITAL LETTER N WITH DOT ABOVE,GF-latin-pro,0
Ndotbelow,7750,Ṇ,LATIN CAPITAL LETTER N WITH DOT BELOW,GF-latin-pro,0
Nlinebelow,7752,Ṉ,LATIN CAPITAL LETTER N WITH LINE BELOW,GF-latin-pro,0
Ntilde,209,Ñ,LATIN CAPITAL LETTER N WITH TILDE,GF-latin-core,0
Eng,330,Ŋ,LATIN CAPITAL LETTER ENG,GF-latin-plus,0
Oacute,211,Ó,LATIN CAPITAL LETTER O WITH ACUTE,GF-latin-core,0
Obreve,334,Ŏ,LATIN CAPITAL LETTER O WITH BREVE,GF-latin-plus,0
Ocircumflex,212,Ô,LATIN CAPITAL LETTER O WITH CIRCUMFLEX,GF-latin-core,0
Ocircumflexacute,7888,Ố,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND ACUTE,GF-latin-plus,0
Ocircumflexdotbelow,7896,Ộ,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND DOT BELOW,GF-latin-plus,0
Ocircumflexgrave,7890,Ồ,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND GRAVE,GF-latin-plus,0
Ocircumflexhoi,7892,Ổ,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE,GF-latin-plus,0
Ocircumflextilde,7894,Ỗ,LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND TILDE,GF-latin-plus,0
Odieresis,214,Ö,LATIN CAPITAL LETTER O WITH DIAERESIS,GF-latin-core,0
Odieresismacron,554,Ȫ,LATIN CAPITAL LETTER O WITH DIAERESIS AND MACRON,GF-latin-plus,0
Odotmacron,560,Ȱ,LATIN CAPITAL LETTER O WITH DOT ABOVE AND MACRON,GF-latin-plus,0
Odotbelow,7884,Ọ,LATIN CAPITAL LETTER O WITH DOT BELOW,GF-latin-plus,0
Ohungarumlaut,336,Ő,LATIN CAPITAL LETTER O WITH DOUBLE ACUTE,GF-latin-plus,0
Ogravedbl,524,Ȍ,LATIN CAPITAL LETTER O WITH DOUBLE GRAVE,GF-latin-plus,0
Ograve,210,Ò,LATIN CAPITAL LETTER O WITH GRAVE,GF-latin-core,0
Ohoi,7886,Ỏ,LATIN CAPITAL LETTER O WITH HOOK ABOVE,GF-latin-plus,0
Ohorn,416,Ơ,LATIN CAPITAL LETTER O WITH HORN,GF-latin-plus,0
Ohornacute,7898,Ớ,LATIN CAPITAL LETTER O WITH HORN AND ACUTE,GF-latin-plus,0
Ohorndotbelow,7906,Ợ,LATIN CAPITAL LETTER O WITH HORN AND DOT BELOW,GF-latin-plus,0
Ohorngrave,7900,Ờ,LATIN CAPITAL LETTER O WITH HORN AND GRAVE,GF-latin-plus,0
Ohornhoi,7902,Ở,LATIN CAPITAL LETTER O WITH HORN AND HOOK ABOVE,GF-latin-plus,0
Ohorntilde,7904,Ỡ,LATIN CAPITAL LETTER O WITH HORN AND TILDE,GF-latin-plus,0
Oinvertedbreve,526,Ȏ,LATIN CAPITAL LETTER O WITH INVERTED BREVE,GF-latin-plus,0
Omacron,332,Ō,LATIN CAPITAL LETTER O WITH MACRON,GF-latin-plus,0
Omacronacute,7762,Ṓ,LATIN CAPITAL LETTER O WITH MACRON AND ACUTE,GF-latin-pro,0
Omacrongrave,7760,Ṑ,LATIN CAPITAL LETTER O WITH MACRON AND GRAVE,GF-latin-pro,0
Oogonek,490,Ǫ,LATIN CAPITAL LETTER O WITH OGONEK,GF-latin-plus,0
Oslash,216,Ø,LATIN CAPITAL LETTER O WITH STROKE,GF-latin-core,0
Oslashacute,510,Ǿ,LATIN CAPITAL LETTER O WITH STROKE AND ACUTE,GF-latin-plus,0
Otilde,213,Õ,LATIN CAPITAL LETTER O WITH TILDE,GF-latin-core,0
Otildeacute,7756,Ṍ,LATIN CAPITAL LETTER O WITH TILDE AND ACUTE,GF-latin-pro,0
Otildedieresis,7758,Ṏ,LATIN CAPITAL LETTER O WITH TILDE AND DIAERESIS,GF-latin-pro,0
Otildemacron,556,Ȭ,LATIN CAPITAL LETTER O WITH TILDE AND MACRON,GF-latin-plus,0
OE,338,Œ,LATIN CAPITAL LIGATURE OE,GF-latin-core,0
Racute,340,Ŕ,LATIN CAPITAL LETTER R WITH ACUTE,GF-latin-plus,0
Rcaron,344,Ř,LATIN CAPITAL LETTER R WITH CARON,GF-latin-plus,0
Rcedilla,342,Ŗ,LATIN CAPITAL LETTER R WITH CEDILLA,GF-latin-plus,0
Rdotbelow,7770,Ṛ,LATIN CAPITAL LETTER R WITH DOT BELOW,GF-latin-pro,0
Rgravedbl,528,Ȑ,LATIN CAPITAL LETTER R WITH DOUBLE GRAVE,GF-latin-plus,0
Rinvertedbreve,530,Ȓ,LATIN CAPITAL LETTER R WITH INVERTED BREVE,GF-latin-plus,0
Rlinebelow,7774,Ṟ,LATIN CAPITAL LETTER R WITH LINE BELOW,GF-latin-pro,0
Sacute,346,Ś,LATIN CAPITAL LETTER S WITH ACUTE,GF-latin-plus,0
Sacutedotaccent,7780,Ṥ,LATIN CAPITAL LETTER S WITH ACUTE AND DOT ABOVE,GF-latin-pro,0
Scaron,352,Š,LATIN CAPITAL LETTER S WITH CARON,GF-latin-plus,0
Scarondot,7782,Ṧ,LATIN CAPITAL LETTER S WITH CARON AND DOT ABOVE,GF-latin-pro,0
Scedilla,350,Ş,LATIN CAPITAL LETTER S WITH CEDILLA,GF-latin-plus,0
Scircumflex,348,Ŝ,LATIN CAPITAL LETTER S WITH CIRCUMFLEX,GF-latin-plus,0
Scommaaccent,536,Ș,LATIN CAPITAL LETTER S WITH COMMA BELOW,GF-latin-plus,0
Sdot,7776,Ṡ,LATIN CAPITAL LETTER S WITH DOT ABOVE,GF-latin-pro,0
Sdotbelow,7778,Ṣ,LATIN CAPITAL LETTER S WITH DOT BELOW,GF-latin-pro,0
Sdotbelowdotabove,7784,Ṩ,LATIN CAPITAL LETTER S WITH DOT BELOW AND DOT ABOVE,GF-latin-pro,0
Germandbls,7838,ẞ,LATIN CAPITAL LETTER SHARP S,GF-latin-plus,0
Schwa,399,Ə,LATIN CAPITAL LETTER SCHWA,GF-latin-plus,0
Tcaron,356,Ť,LATIN CAPITAL LETTER T WITH CARON,GF-latin-plus,0
Tcedilla,354,Ţ,LATIN CAPITAL LETTER T WITH CEDILLA,GF-latin-plus,0
Tcommaaccent,538,Ț,LATIN CAPITAL LETTER T WITH COMMA BELOW,GF-latin-plus,0
Tdotbelow,7788,Ṭ,LATIN CAPITAL LETTER T WITH DOT BELOW,GF-latin-pro,0
Tlinebelow,7790,Ṯ,LATIN CAPITAL LETTER T WITH LINE BELOW,GF-latin-pro,0
Tbar,358,Ŧ,LATIN CAPITAL LETTER T WITH STROKE,GF-latin-plus,0
Thorn,222,Þ,LATIN CAPITAL LETTER THORN,GF-latin-core,0
Uacute,218,Ú,LATIN CAPITAL LETTER U WITH ACUTE,GF-latin-core,0
Ubreve,364,Ŭ,LATIN CAPITAL LETTER U WITH BREVE,GF-latin-plus,0
Ucircumflex,219,Û,LATIN CAPITAL LETTER U WITH CIRCUMFLEX,GF-latin-core,0
Udieresis,220,Ü,LATIN CAPITAL LETTER U WITH DIAERESIS,GF-latin-core,0
Udotbelow,7908,Ụ,LATIN CAPITAL LETTER U WITH DOT BELOW,GF-latin-plus,0
Uhungarumlaut,368,Ű,LATIN CAPITAL LETTER U WITH DOUBLE ACUTE,GF-latin-plus,0
Ugravedbl,532,Ȕ,LATIN CAPITAL LETTER U WITH DOUBLE GRAVE,GF-latin-plus,0
Ugrave,217,Ù,LATIN CAPITAL LETTER U WITH GRAVE,GF-latin-core,0
Uhoi,7910,Ủ,LATIN CAPITAL LETTER U WITH HOOK ABOVE,GF-latin-plus,0
Uhorn,431,Ư,LATIN CAPITAL LETTER U WITH HORN,GF-latin-plus,0
Uhornacute,7912,Ứ,LATIN CAPITAL LETTER U WITH HORN AND ACUTE,GF-latin-plus,0
Uhorndotbelow,7920,Ự,LATIN CAPITAL LETTER U WITH HORN AND DOT BELOW,GF-latin-plus,0
Uhorngrave,7914,Ừ,LATIN CAPITAL LETTER U WITH HORN AND GRAVE,GF-latin-plus,0
Uhornhoi,7916,Ử,LATIN CAPITAL LETTER U WITH HORN AND HOOK ABOVE,GF-latin-plus,0
Uhorntilde,7918,Ữ,LATIN CAPITAL LETTER U WITH HORN AND TILDE,GF-latin-plus,0
Uinvertedbreve,534,Ȗ,LATIN CAPITAL LETTER U WITH INVERTED BREVE,GF-latin-plus,0
Umacron,362,Ū,LATIN CAPITAL LETTER U WITH MACRON,GF-latin-plus,0
Umacrondieresis,7802,Ṻ,LATIN CAPITAL LETTER U WITH MACRON AND DIAERESIS,GF-latin-pro,0
Uogonek,370,Ų,LATIN CAPITAL LETTER U WITH OGONEK,GF-latin-plus,0
Uring,366,Ů,LATIN CAPITAL LETTER U WITH RING ABOVE,GF-latin-plus,0
Utilde,360,Ũ,LATIN CAPITAL LETTER U WITH TILDE,GF-latin-plus,0
Utildeacute,7800,Ṹ,LATIN CAPITAL LETTER U WITH TILDE AND ACUTE,GF-latin-pro,0
Wacute,7810,Ẃ,LATIN CAPITAL LETTER W WITH ACUTE,GF-latin-plus,0
Wcircumflex,372,Ŵ,LATIN CAPITAL LETTER W WITH CIRCUMFLEX,GF-latin-plus,0
Wdieresis,7812,Ẅ,LATIN CAPITAL LETTER W WITH DIAERESIS,GF-latin-plus,0
Wgrave,7808,Ẁ,LATIN CAPITAL LETTER W WITH GRAVE,GF-latin-plus,0
Yacute,221,Ý,LATIN CAPITAL LETTER Y WITH ACUTE,GF-latin-core,0
Ycircumflex,374,Ŷ,LATIN CAPITAL LETTER Y WITH CIRCUMFLEX,GF-latin-plus,0
Ydieresis,376,Ÿ,LATIN CAPITAL LETTER Y WITH DIAERESIS,GF-latin-plus,0
Ydot,7822,Ẏ,LATIN CAPITAL LETTER Y WITH DOT ABOVE,GF-latin-pro,0
Ydotbelow,7924,Ỵ,LATIN CAPITAL LETTER Y WITH DOT BELOW,GF-latin-plus,0
Ygrave,7922,Ỳ,LATIN CAPITAL LETTER Y WITH GRAVE,GF-latin-plus,0
Yhoi,7926,Ỷ,LATIN CAPITAL LETTER Y WITH HOOK ABOVE,GF-latin-plus,0
Ymacron,562,Ȳ,LATIN CAPITAL LETTER Y WITH MACRON,GF-latin-plus,0
Ytilde,7928,Ỹ,LATIN CAPITAL LETTER Y WITH TILDE,GF-latin-plus,0
Zacute,377,Ź,LATIN CAPITAL LETTER Z WITH ACUTE,GF-latin-plus,0
Zcaron,381,Ž,LATIN CAPITAL LETTER Z WITH CARON,GF-latin-plus,0
Zdotaccent,379,Ż,LATIN CAPITAL LETTER Z WITH DOT ABOVE,GF-latin-plus,0
Zdotbelow,7826,Ẓ,LATIN CAPITAL LETTER Z WITH DOT BELOW,GF-latin-pro,0
aacute,225,á,LATIN SMALL LETTER A WITH ACUTE,GF-latin-core,0
abreve,259,ă,LATIN SMALL LETTER A WITH BREVE,GF-latin-plus,0
abreveacute,7855,ắ,LATIN SMALL LETTER A WITH BREVE AND ACUTE,GF-latin-plus,0
abrevedotbelow,7863,ặ,LATIN SMALL LETTER A WITH BREVE AND DOT BELOW,GF-latin-plus,0
abrevegrave,7857,ằ,LATIN SMALL LETTER A WITH BREVE AND GRAVE,GF-latin-plus,0
abrevehoi,7859,ẳ,LATIN SMALL LETTER A WITH BREVE AND HOOK ABOVE,GF-latin-plus,0
abrevetilde,7861,ẵ,LATIN SMALL LETTER A WITH BREVE AND TILDE,GF-latin-plus,0
acircumflex,226,â,LATIN SMALL LETTER A WITH CIRCUMFLEX,GF-latin-core,0
acircumflexacute,7845,ấ,LATIN SMALL LETTER A WITH CIRCUMFLEX AND ACUTE,GF-latin-plus,0
acircumflexdotbelow,7853,ậ,LATIN SMALL LETTER A WITH CIRCUMFLEX AND DOT BELOW,GF-latin-plus,0
acircumflexgrave,7847,ầ,LATIN SMALL LETTER A WITH CIRCUMFLEX AND GRAVE,GF-latin-plus,0
acircumflexhoi,7849,ẩ,LATIN SMALL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE,GF-latin-plus,0
acircumflextilde,7851,ẫ,LATIN SMALL LETTER A WITH CIRCUMFLEX AND TILDE,GF-latin-plus,0
adieresis,228,ä,LATIN SMALL LETTER A WITH DIAERESIS,GF-latin-core,0
adotbelow,7841,ạ,LATIN SMALL LETTER A WITH DOT BELOW,GF-latin-plus,0
agravedbl,513,ȁ,LATIN SMALL LETTER A WITH DOUBLE GRAVE,GF-latin-plus,0
agrave,224,à,LATIN SMALL LETTER A WITH GRAVE,GF-latin-core,0
ahoi,7843,ả,LATIN SMALL LETTER A WITH HOOK ABOVE,GF-latin-plus,0
ainvertedbreve,515,ȃ,LATIN SMALL LETTER A WITH INVERTED BREVE,GF-latin-plus,0
amacron,257,ā,LATIN SMALL LETTER A WITH MACRON,GF-latin-plus,0
aogonek,261,ą,LATIN SMALL LETTER A WITH OGONEK,GF-latin-plus,0
aring,229,å,LATIN SMALL LETTER A WITH RING ABOVE,GF-latin-core,0
aringacute,507,ǻ,LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE,GF-latin-plus,0
atilde,227,ã,LATIN SMALL LETTER A WITH TILDE,GF-latin-core,0
ae,230,æ,LATIN SMALL LETTER AE,GF-latin-core,0
aeacute,509,ǽ,LATIN SMALL LETTER AE WITH ACUTE,GF-latin-plus,0
cacute,263,ć,LATIN SMALL LETTER C WITH ACUTE,GF-latin-plus,0
ccaron,269,č,LATIN SMALL LETTER C WITH CARON,GF-latin-plus,0
ccedilla,231,ç,LATIN SMALL LETTER C WITH CEDILLA,GF-latin-core,0
ccedillaacute,7689,ḉ,LATIN SMALL LETTER C WITH CEDILLA AND ACUTE,GF-latin-pro,0
ccircumflex,265,ĉ,LATIN SMALL LETTER C WITH CIRCUMFLEX,GF-latin-plus,0
cdotaccent,267,ċ,LATIN SMALL LETTER C WITH DOT ABOVE,GF-latin-plus,0
dcaron,271,ď,LATIN SMALL LETTER D WITH CARON,GF-latin-plus,0
ddotbelow,7693,ḍ,LATIN SMALL LETTER D WITH DOT BELOW,GF-latin-pro,0
dlinebelow,7695,ḏ,LATIN SMALL LETTER D WITH LINE BELOW,GF-latin-pro,0
dcroat,273,đ,LATIN SMALL LETTER D WITH STROKE,GF-latin-plus,0
eth,240,ð,LATIN SMALL LETTER ETH,GF-latin-core,0
eacute,233,é,LATIN SMALL LETTER E WITH ACUTE,GF-latin-core,0
ebreve,277,ĕ,LATIN SMALL LETTER E WITH BREVE,GF-latin-plus,0
ecaron,283,ě,LATIN SMALL LETTER E WITH CARON,GF-latin-plus,0
ecedillabreve,7709,ḝ,LATIN SMALL LETTER E WITH CEDILLA AND BREVE,GF-latin-pro,0
ecircumflex,234,ê,LATIN SMALL LETTER E WITH CIRCUMFLEX,GF-latin-core,0
ecircumflexacute,7871,ế,LATIN SMALL LETTER E WITH CIRCUMFLEX AND ACUTE,GF-latin-plus,0
ecircumflexdotbelow,7879,ệ,LATIN SMALL LETTER E WITH CIRCUMFLEX AND DOT BELOW,GF-latin-plus,0
ecircumflexgrave,7873,ề,LATIN SMALL LETTER E WITH CIRCUMFLEX AND GRAVE,GF-latin-plus,0
